In what year are you in your cumulative undergraduate studies?,In what year are you in your cumulative time at UC Berkeley?,Do you consider yourself an introvert or extrovert?,How many different people do you text (or any other forms of direct messaging) per day on average?,"On average, how many hours of sleep do you get each night?",Are you left-handed or right-handed?,Which leg do you put in first when putting on pants?
Second,First,4,3,8,Right-handed,Left leg in first
Third,Third,3,5,7,Right-handed,Left leg in first
Not an undergrad,First,7,15,9,Right-handed,Right leg in first
Second,Second,8,5,9,Right-handed,Right leg in first
Third,Third,6,7,6.5,Right-handed,Left leg in first
Third,First,4,2,8,Right-handed,Right leg in first
Third,First,2,5,11,Right-handed,Right leg in first
Third,Third,4,1,8,Right-handed,Right leg in first
Fourth,Fourth,3,6,7,Right-handed,Right leg in first
Third,Third,4,2,8,Right-handed,Left leg in first
Third,First,5,5,6,Right-handed,Right leg in first
Second,First,9,7,5,Right-handed,Right leg in first
Third,First,5,11,7,Right-handed,Left leg in first
First,First,6,3,5,Right-handed,I don't know
Second,First,4,,,Right-handed,Left leg in first
First,First,4,5,7,Right-handed,Right leg in first
Fourth,Fourth,7,6,8,Right-handed,I don't know
Second,Second,5,3,5,Right-handed,Right leg in first
Second,Second,10,10,5,Right-handed,Right leg in first
Second,Second,8,7,7.5,Right-handed,Right leg in first
Second,Second,6,10,7,Right-handed,Left leg in first
Third,Second,,,,,
Third,First,8,3,7,Right-handed,Left leg in first
First,First,3,8,6,Right-handed,Right leg in first
Second,First,3,8,7,Right-handed,Right leg in first
Third,Third,3,0,6,Right-handed,Right leg in first
Not an undergrad,First,6,3,8,Right-handed,Right leg in first
First,First,6,2,6,Left-handed,Right leg in first
Third,First,7,5,7,Right-handed,Left leg in first
Second,First,4,3,7,Right-handed,I don't know
First,First,5,6,7,Right-handed,Left leg in first
Second,Second,5,8,6,Right-handed,Right leg in first
Second,,6,10,7,Right-handed,Right leg in first
Second,Second,8,9,7,Right-handed,I don't know
Second,Second,5,6,6,Right-handed,Left leg in first
Second,First,5,3,7,Right-handed,Right leg in first
Second,Second,3,2,6,Right-handed,Right leg in first
First,First,4,4,7,Right-handed,Right leg in first
Third,First,6,,,,
First,First,3,3,5,Right-handed,Right leg in first
Fourth,Fourth,1,3,5,Left-handed,Left leg in first
Second,Second,7,6,6,Right-handed,Left leg in first
First,First,,,,,
Third,,8,15,8,Right-handed,Right leg in first
Second,Second,8,3,6,Right-handed,I don't know
Second,Second,6,30,7,Right-handed,Left leg in first
Second,First,6,4,8,Right-handed,Right leg in first
Third,Third,4,3,8,Left-handed,Left leg in first
Second,,7,4,8,Right-handed,Left leg in first
Fourth,Fourth,5,6,7,Right-handed,Right leg in first
Fourth,Fourth,4,4,8,Right-handed,Left leg in first
Not an undergrad,First,7,8,7,Right-handed,Right leg in first
Third,First,5,4,8,Right-handed,Left leg in first
Third,Third,6,2,7,Right-handed,Left leg in first
Third,Third,8,,,,
Fifth or above,Fifth or above,3,2,7,Right-handed,Right leg in first
Fourth,Fourth,7,5,8,Right-handed,Left leg in first
Fourth,Second,4,3,7,Right-handed,Right leg in first
Third,Third,5,0,0,Left-handed,I don't know
Fourth,Second,5,10,6,Right-handed,Right leg in first
Third,First,5,0,6,Right-handed,Right leg in first
Third,Third,4,7,5,Right-handed,I don't know
Third,Third,3,3,5,Right-handed,Right leg in first
Third,Third,5,3,6,Right-handed,Right leg in first
Third,First,7,1,6,Right-handed,Right leg in first
Third,First,5,,,,
